Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,139.580017993067,146.955455524498,154.059022977643,159.63946134269,143.615831608932,143.566834038237,146.453827600425,140.877123545137,132.093151327231,..
Argentina,ARG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,9.85001571801394,11.0647814039036,12.3304007482087,14.814237263553,15.2904281865797,15.9158927217325,16.6016632167629,17.8499966087916,19.1015223906504,..
Argentina,ARG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,25.203211310809,34.0268856020468,63.3307655179964,73.8574224754747,89.9237160032342,123.272841307535,735.024765104071,1628.59139070889,1872.59091022077,..
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,45,51,55.8,59.9,64.7,68.0430641088122,70.96898082,74.29490687,..,..
Argentina,ARG,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1410136164.45972,1800882627.12602,1754217566.81462,1730267633.66817,1443464924.46564,1473496949.61781,1495678271.32117,1951161321.99238,..,..
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,101.558682028298,105.550620926852,106.261156373565,107.246154823284,106.202533061789,107.677834937609,109.431295231959,111.708051619264,113.578710580609,..
Australia,AUS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,24.8705927989297,24.6339504554996,25.0393512943707,25.7192963912615,27.6991123739767,28.530238919441,30.3923155828582,32.2233982058702,30.6850082688868,..
Australia,AUS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,1402.79369546223,2171.39426528817,3187.89942492269,3505.12572806905,3938.58564985066,4574.11080242501,9810.21505311893,21544.7937676257,32890.8395998795,..
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,76,79.4876977139029,79,83.453497167,84,84.560519347399,86.54,86.54504885,..,..
Australia,AUS,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1590730095.4696,1750846576.43766,1803954389.53214,2101542415.53797,2341552787.91546,2291322901.5546,2454143520.13958,2819770796.46527,..,..
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,100.621491190432,118.653295978176,124.605885194922,134.851428435333,138.451183325239,126.087955936841,118.385594532304,105.014206951291,98.8434998665652,..
Brazil,BRA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,7.20485826140831,9.02872839698239,9.59401130726349,10.6252832081066,11.8208275889014,12.4625898844745,13.0289004790786,13.909125368877,14.9105384753642,..
Brazil,BRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,28.2504588911243,44.0929577364671,70.5463934841085,86.830261358838,112.337642626281,158.960819671883,410.044364010161,1581.63855431217,2036.38400853647,..
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.65,45.69,48.56,51.04,54.5510018796392,58.3279517340924,60.87254007,67.47128452,70.4342825404361,..
Brazil,BRA,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,611184383.66,523449062.29,731699235.26,707884610.14,1446455332.25,1571479659.22,1803756099.8,2186198176.2,..,..
China,CHN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,62.7554309257019,71.6494509003658,80.3460379316654,88.305749017053,91.8996288670346,91.8353880011205,96.5266169129623,103.438420811662,115.525812190767,..
China,CHN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,9.22969172035534,11.3684902586309,12.6558438014332,13.5721863986977,14.3258017065249,19.6926765080861,22.81370164145,27.7398983250356,28.5351894210131,..
China,CHN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,1.19906855397864,1.95739995387351,3.77583392253618,5.15625690668788,9.759065287663,19.6824725426992,47.9115666242343,209.120055972504,446.706827597596,..
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.3,38.3,42.3001174855995,45.8,47.9,50.3,53.2,54.3,..,..
China,CHN,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,10476412987,13908433591,16246869227,17098439900,20172914775.51,24548939490.86,25432487660.12,26976771152.02,..,..
France,FRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,91.8979515273094,94.6122951347475,97.9481837746427,99.108634247367,101.91833914778,103.456461432481,104.48973547741,106.439434661604,108.35735696862,..
France,FRA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,33.9331416758363,35.9825983352342,37.7256255527776,39.0336892509844,40.45422008909,41.684509070147,42.8035085763819,43.9218044446738,44.7757673424048,..
France,FRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,278.051563625221,401.406245647951,622.466020271244,821.349673213954,1188.89681389587,1897.18597495132,6674.44732982023,14831.1951590204,20414.9464635386,..
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.28,77.8199989926706,81.44,81.9198,83.75,78.01,79.26981132,80.50245972,82.0431867788484,..
France,FRA,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,14104194840.0733,15126703597.1783,15863607121.4204,16977855921.5456,18920977756.6522,17214809978.5317,17340101139.7878,18376229268.7734,..,..
Germany,DEU,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,109.369391184397,112.422595373443,114.11263569215,123.233483298983,122.197100177976,117.817643108913,125.885456425358,132.714869941424,129.324213734645,..
